"categoria","local","bio_33","bio_34","bio_35","bio_30","bio_26","bio_27","bio_23","bio_24","bio_18","bio_19","bio_20","Bio_04"
"BNs","BAG",1536,5,611,218,190,266,25,23758,282,240,7650,648
"CEP","EGA",1560,2,290,217,135,308,9,23264,376,478,7514,627
"BNs","SVR",1557,4,928,179,169,225,5,29937,171,137,6282,650
"BNs","SVT",1432,4,1073,207,181,284,17,23483,357,148,6773,668
"BNs","SNG",1510,6,805,175,180,201,14,19818,310,262,7647,655
"BNs","SMC",1416,5,784,221,143,300,12,44019,352,457,7272,644
"BNs","SCA",1479,4,770,202,177,261,16,18955,266,190,6559,655
"BNs","VCT",1539,2,752,175,175,239,4,23701,125,73,6169,637
"CEP","RCD",1686,2,72,168,131,234,10,41877,524,594,6282,574
"CEP","PDI",1687,1,24,225,120,288,7,58162,494,636,6768,568
"CEP","MSJ",1690,2,35,235,126,296,6,34241,493,602,6370,574
"CEP","EET",1657,1,181,187,144,233,12,32202,394,441,6733,614
"CEP","EJU",1635,2,132,215,126,250,8,25373,354,374,7621,635
"BNs","BSH",1602,2,656,179,178,164,3,25804,277,128,6598,649
"CEP","ESC",1562,2,118,268,121,268,14,24573,419,559,6746,606
"BNs","RSN",1566,3,620,212,178,227,8,9718,103,64,6002,623
"CEP","FTB",1742,2,52,174,110,238,7,25394,430,439,6011,599
"CEP","GUR",1626,1,80,228,141,255,10,19207,505,645,6149,586
"CEP","JNG",1679,3,64,242,121,259,10,46864,510,630,6224,576
"CEP","FRE",1486,4,653,241,137,305,20,31589,383,517,7701,636
"CEP","PDA",1455,3,678,256,159,267,15,24936,368,468,7232,637
"BNs","MBT",1435,7,968,176,158,259,20,16183,368,146,6666,666
"BNs","SOR",1545,4,957,157,167,230,9,18528,330,131,6078,659
"BNs","MTE",1557,4,528,214,181,257,21,45400,335,355,7197,657
"BNs","SMO",1564,7,651,194,181,262,17,15616,158,235,6350,618
"BNs","BTQ",1545,3,879,190,186,230,16,28594,303,205,7139,674
"CEP","EAA",1594,3,368,255,160,286,13,29921,379,423,7748,647
"BNs","BTR",1580,3,1084,202,146,285,14,26627,172,163,6018,662
"CEP","MBB",1769,4,23,205,118,248,4,32903,110,250,5600,656
"CEP","FNF",1715,2,59,253,121,273,2,44860,268,388,4955,648
"BNs","AMB",1693,4,650,165,152,254,3,56745,81,153,5761,718
"CEP","MPV",1759,2,167,175,141,224,3,55570,284,383,6421,659
"BNs","PPT",1443,1,735,223,129,350,17,16831,324,549,6937,626
"CEP","USG",1567,3,341,191,141,292,9,13627,308,549,7559,624
"CEP","EEM",1619,2,136,226,162,319,7,14686,355,513,7267,597
"CEP","RSB",1645,2,6,241,148,299,2,24292,249,341,5567,558
"CEP","MPT",1458,1,200,219,123,268,17,17077,267,564,7071,609
"CEP","SIR",1607,3,242,198,193,246,7,28236,211,366,7020,604
"CEP","SNC",1528,2,322,197,144,309,17,34688,326,517,7628,603
"CEP","SLV",1549,2,222,189,152,279,16,57247,333,461,7230,612
"CEP","MCN",1609,2,179,181,167,291,9,26842,312,510,7194,609
"CEP","SDA",1615,2,99,268,146,278,9,20365,438,631,7180,590
"BNs","CAR",1749,3,804,182,135,278,7,11022,99,40,5199,617
"BNs","SBT",1561,0,789,246,156,343,22,23131,58,952,7106,708
"BNs","PNU",1626,0,854,217,136,259,6,31242,31,1126,5972,668
"BNs","SMP",1565,2,738,225,146,278,18,25636,108,270,7152,709
"BNs","SMR",1619,4,843,238,146,237,14,23691,20,1207,6332,681
"BNs","SRT",1600,3,620,234,145,275,14,22983,119,278,7301,712
"CEP","SJC",1785,2,137,176,173,216,23,38009,91,267,5274,702
"BNs","ARE",1571,2,421,209,184,223,18,26201,364,325,6971,676
"BNs","BAN",1511,5,578,178,163,265,15,34202,397,368,7173,680
"BNs","CRN",1697,4,354,177,196,219,14,14409,401,351,7527,672
"CEP","FRI",1663,2,131,210,189,244,3,51559,294,267,7467,666
"CEP","MXX",1765,2,62,148,105,221,3,46274,498,531,6293,588
"CEP","MBU",1747,2,49,176,139,256,1,69153,502,541,6306,572
"CEP","RBG",1711,4,173,170,98,215,3,54816,440,456,6372,649
"CEP","FPT",1739,2,76,176,121,203,7,33049,340,365,6610,636
